bench,suite,system,surface,engine,run_dir,task_dir,task_id,attempt_number,grade_type,score,agent_latency_s,url_citations,citation_unique_urls,citation_content_chars_total,turns,tool_calls,f1_by_item,f1_by_row,precision_by_item,precision_by_row,recall_by_item,recall_by_row,success_rate
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000034-4a14c454-7941-5ac9-a02b-f729032efde9,4a14c454-7941-5ac9-a02b-f729032efde9,1,INCORRECT,0.0,13.34,25,21,19782,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000035-458fa7fd-feb1-560a-8136-095b435f5b52,458fa7fd-feb1-560a-8136-095b435f5b52,1,CORRECT,1.0,24.542,23,22,35273,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000036-50ba5428-39f3-51f8-8cdf-da6fdead726d,50ba5428-39f3-51f8-8cdf-da6fdead726d,1,INCORRECT,0.0,12.994,9,7,4238,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000037-9d96f9a7-f9b5-5bf5-b19a-d97871aca777,9d96f9a7-f9b5-5bf5-b19a-d97871aca777,1,INCORRECT,0.0,19.931,13,12,7418,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000038-67534d4f-4e1a-5565-8163-030112dab8ef,67534d4f-4e1a-5565-8163-030112dab8ef,1,INCORRECT,0.0,20.507,20,18,10386,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000039-2f12da8d-8829-521b-9596-929d30ea4a8c,2f12da8d-8829-521b-9596-929d30ea4a8c,1,INCORRECT,0.0,11.866,14,14,14521,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000040-b95635c2-8a95-5260-baeb-21acc210affe,b95635c2-8a95-5260-baeb-21acc210affe,1,INCORRECT,0.0,21.693,19,18,7373,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000041-f979d18c-0cb5-5263-b92f-955603aa2c35,f979d18c-0cb5-5263-b92f-955603aa2c35,1,INCORRECT,0.0,66.638,20,18,21741,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000042-47357617-5b9f-5798-8593-09d179e19b53,47357617-5b9f-5798-8593-09d179e19b53,1,CORRECT,1.0,72.124,20,17,26967,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000043-b5ced4a0-35f1-5765-813c-507582a5d92b,b5ced4a0-35f1-5765-813c-507582a5d92b,1,CORRECT,1.0,92.182,25,17,22751,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000044-23c3b3bb-8a7a-5b69-820c-d48fb4098178,23c3b3bb-8a7a-5b69-820c-d48fb4098178,1,INCORRECT,0.0,12.86,19,15,10773,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000045-e1753f03-ecb8-5190-9338-2e146bffe23c,e1753f03-ecb8-5190-9338-2e146bffe23c,1,CORRECT,1.0,40.269,10,8,17987,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000046-56baf025-68cf-5112-af0a-415d33388431,56baf025-68cf-5112-af0a-415d33388431,1,INCORRECT,0.0,19.836,20,16,14452,1,0,,,,,,,
